sku;nombre;descripcion;seller;cat_fcom;nombre_cat_fcom;estado_publicacion;precio1;precio2;precio3;precio4;tipo_precio1;tipo_precio2;fcom_url;fecha_publicacion;origen;jl1;jl1_nombre;jl2;jl2_nombre;jl3;jl3_nombre;mkp_nombre
6537400;MK Funda Universal Cubre Asientos Auto Momo 57550;Funda Universal Cubre Asientos Auto Momo 57550;Momo;cat3007;Accesorios Auto;Publicado;;     24990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6537400_1?$producto308$;28/06/2018 10:37;Market Place;J17;REGALOS;J1701;REGALERIA;J170108;ADORNOS;MK Funda Universal Cubre Asientos Auto Momo 57550
6537229;MK Maquina De Ejercicios Infantil Caminadora 34851;Máquina de Ejercicios Infantil Caminadora 34851;Fernapet;cat8990009;Máquinas de Ejercicios;Despublicado;;;171990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6537229_1?$producto308$;02/07/2018 12:56;Market Place;J09;NIÑOS;J0909;JUGUETERIA;J090906;ELECTRONICOS;MK Maquina De Ejercicios Infantil Caminadora 34851
6537224;MK Maquina De Ejercicios Infantil Escaladora 34860;Máquina de Ejercicios Infantil Escaladora 34860;Fernapet;cat8990009;Máquinas de Ejercicios;Despublicado;;;100990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6537224_1?$producto308$;02/07/2018 12:56;Market Place;J09;NIÑOS;J0909;JUGUETERIA;J090906;ELECTRONICOS;MK Maquina De Ejercicios Infantil Escaladora 34860
6537207;MK Maquina Ejercicio Bicicleta Estatica Infantil 3;Máquina Ejercicio Bicicleta Estática Infantil 3485;Fernapet;cat12270023;Juegos Deportivos;Despublicado;;;  100990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6537207_1?$producto308$;02/07/2018 12:53;Market Place;J09;NIÑOS;J0909;JUGUETERIA;J090906;ELECTRONICOS;MK Maquina Ejercicio Bicicleta Estatica Infantil 3
6537220;MK Maquina De Ejercicios Infantil Remo 34853;Máquina de Ejercicios Infantil Remo 34853;Fernapet;cat8990009;Máquinas de Ejercicios;Despublicado;;;114990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6537220_1?$producto308$;02/07/2018 12:55;Market Place;J09;NIÑOS;J0909;JUGUETERIA;J090906;ELECTRONICOS;MK Maquina De Ejercicios Infantil Remo 34853
6537211;MK Maquina Ejercicio Caminadora Aerea Infantil 348;Máquina Ejercicio Caminadora Aérea Infantil 34857;Fernapet;cat8990009;Máquinas de Ejercicios;Despublicado;;      114990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6537211_1?$producto308$;02/07/2018 12:53;Market Place;J09;NIÑOS;J0909;JUGUETERIA;J090906;ELECTRONICOS;MK Maquina Ejercicio Caminadora Aerea Infantil 348
6537216;MK Maquina Ejercicio Infantil Caminadora Junior 34;Máquina Ejercicio Infantil Caminadora Junior 34852;Fernapet;cat8990009;Máquinas de Ejercicios;Publicado;;    114990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6537216_1?$producto308$;02/07/2018 12:54;Market Place;J09;NIÑOS;J0909;JUGUETERIA;J090906;ELECTRONICOS;MK Maquina Ejercicio Infantil Caminadora Junior 34
6537162;MK Comedor Esquinero  2 Sillas Madera Maciza;Comedor Esquinero + 2 Sillas Madera Maciza;Fernapet;cat7190097;Iluminación inteligente;Despublicado;;;  142990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6537162_1?$producto308$;02/07/2018 12:51;Market Place;J13;MUEBLES;J1302;COMEDOR;J130201;MESA DE COMEDOR;MK Comedor Esquinero  2 Sillas Madera Maciza
6537160;MK Comedor Esquinero  2 Sillas Madera Maciza;Comedor Esquinero + 2 Sillas Madera Maciza;Fernapet;cat7190097;Iluminación inteligente;Despublicado;;;  142990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6537160_1?$producto308$;02/07/2018 12:51;Market Place;J13;MUEBLES;J1302;COMEDOR;J130201;MESA DE COMEDOR;MK Comedor Esquinero  2 Sillas Madera Maciza
6541405;MK Parlante Barra  Subwoofer Aiwa Mp3 Usb Aux 2129;Parlante Barra + Subwoofer Aiwa Mp3 Usb Aux 21298;AIWA;cat1700004;Soundbar;Publicado;;;  55990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6541405_1?$producto308$;02/07/2018 12:57;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111401;ACCESORIOS AUDIO;MK Parlante Barra  Subwoofer Aiwa Mp3 Usb Aux 2129
